periodo,cip,millonesdedolares
2011-12,Ixtapa  ,4.49
2011-12,Huatulco  ,1.83
2011-12,Loreto  ,1.6
2011-11,Cancun  ,111.87
2011-11,Los Cabos  ,47.12
2011-11,Nayarit,ND
2011-11,Ixtapa  ,4.07
2011-11,Huatulco  ,1.73
2011-11,Loreto  ,0.91
2011-10,Cancun  ,99.45
2011-10,Los Cabos  ,46.31
2011-10,Nayarit,ND
2011-10,Ixtapa  ,1.38
2011-10,Huatulco  ,0.72
2011-10,Loreto  ,1.1
2011-09,Cancun  ,91.9
2011-09,Los Cabos  ,34.72
2011-09,Nayarit,ND
2011-09,Ixtapa  ,1.11
2011-09,Huatulco  ,0.53
2011-09,Loreto  ,0.77
2011-08,Cancun  ,119.25
2011-08,Los Cabos  ,46.02
2011-08,Nayarit,ND
2011-08,Ixtapa  ,1.36
2011-08,Huatulco  ,0.75
2011-08,Loreto  ,1.12
2011-07,Cancun  ,135.3
2011-07,Los Cabos  ,51.06
2011-07,Nayarit,ND
2011-07,Ixtapa  ,2.02
2011-07,Huatulco  ,1.01
2011-07,Loreto  ,1.09
2011-06,Cancun  ,136.04
2011-06,Los Cabos  ,53.15
2011-06,Nayarit,ND
2011-06,Ixtapa  ,1.49
2011-06,Huatulco  ,0.77
2011-06,Loreto  ,0.73
2011-05,Cancun  ,122.79
2011-05,Los Cabos  ,52.76
2011-05,Nayarit,ND
2011-05,Ixtapa  ,1.89
2011-05,Huatulco  ,0.96
2011-05,Loreto  ,1.54
2011-04,Cancun  ,136.91
2011-04,Los Cabos  ,64.22
2011-04,Nayarit,ND
2011-04,Ixtapa  ,3.08
2011-04,Huatulco  ,2.13
2011-04,Loreto  ,1.95
2011-03,Cancun  ,185.16
2011-03,Los Cabos  ,78.72
2011-03,Nayarit,ND
2011-03,Ixtapa  ,11.8
2011-03,Huatulco  ,4.28
2011-03,Loreto  ,2.38
2011-02,Cancun  ,158.98
2011-02,Los Cabos  ,63.83
2011-02,Nayarit,ND
2011-02,Ixtapa  ,11.63
2011-02,Huatulco  ,3.98
2011-02,Loreto  ,0.82
2011-01,Cancun  ,173.59
2011-01,Los Cabos  ,60.68
2011-01,Nayarit,ND
2011-01,Ixtapa  ,13.37
2011-01,Huatulco  ,4.38
2011-01,Loreto  ,0.38
2010-12,Cancun  ,124.27
2010-12,Los Cabos  ,43.76
2010-12,Nayarit,ND
2010-12,Ixtapa  ,5.65
2010-12,Huatulco  ,1.9
2010-12,Loreto  ,0.13
2010-11,Cancun  ,101.6
2010-11,Los Cabos  ,45.84
2010-11,Nayarit,ND
2010-11,Ixtapa  ,4.85
2010-11,Huatulco  ,1.45
2010-11,Loreto  ,0.36
2010-10,Cancun  ,78.86
2010-10,Los Cabos  ,46.54
2010-10,Nayarit,ND
2010-10,Ixtapa  ,3.13
2010-10,Huatulco  ,0.63
2010-10,Loreto  ,0.18
2010-09,Cancun  ,71.95
2010-09,Los Cabos  ,31.77
2010-09,Nayarit,ND
2010-09,Ixtapa  ,2.28
2010-09,Huatulco  ,0.34
2010-09,Loreto  ,0.28
2010-08,Cancun  ,112.2
2010-08,Los Cabos  ,41.14
2010-08,Nayarit,ND
2010-08,Ixtapa  ,2.86
2010-08,Huatulco  ,0.72
2010-08,Loreto  ,0.75
2010-07,Cancun  ,134.28
2010-07,Los Cabos  ,45.59
2010-07,Nayarit,ND
2010-07,Ixtapa  ,3.75
2010-07,Huatulco  ,1.23
2010-07,Loreto  ,0.78
2010-06,Cancun  ,121.73
2010-06,Los Cabos  ,41.94
2010-06,Nayarit,ND
2010-06,Ixtapa  ,2.58
2010-06,Huatulco  ,0.79
2010-06,Loreto  ,0.39
2010-05,Cancun  ,114.63
2010-05,Los Cabos  ,46.42
2010-05,Nayarit,ND
2010-05,Ixtapa  ,2.99
2010-05,Huatulco  ,0.72
2010-05,Loreto  ,0.3
2010-04,Cancun  ,145.38
2010-04,Los Cabos  ,49.03
2010-04,Nayarit,ND
2010-04,Ixtapa  ,4.99
2010-04,Huatulco  ,2.49
2010-04,Loreto  ,0.38
2010-03,Cancun  ,230.2
2010-03,Los Cabos  ,61.42
2010-03,Nayarit,ND
2010-03,Ixtapa  ,10.75
2010-03,Huatulco  ,4.18
2010-03,Loreto  ,0.71
2010-02,Cancun  ,214.71
2010-02,Los Cabos  ,65.32
2010-02,Nayarit,ND
2010-02,Ixtapa  ,12.69
2010-02,Huatulco  ,5.96
2010-02,Loreto  ,0.51
2010-01,Cancun  ,190.17
2010-01,Los Cabos  ,53.21
2010-01,Nayarit,ND
2010-01,Ixtapa  ,12.59
2010-01,Huatulco  ,5
2010-01,Loreto  ,0.47
